lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
tout,ADJ,m,p,910.39,916.55,913.47
quoi,ADJ,m,s,1558.22,210.88,884.55
tout,ADJ,m,s,797.55,680.47,739.01
autre,ADJ,,s,668.48,700.68,684.58
petit,ADJ,m,s,573.72,653.78,613.75
bon,ADJ,m,s,836.29,376.28,606.285
sûr,ADJ,m,s,801.64,343.51,572.575
même,ADJ,,s,369.32,705.81,537.565
tout,ADJ,f,s,441.79,602.84,522.315
vrai,ADJ,m,s,678.47,311.89,495.18
seul,ADJ,m,s,461.2,478.58,469.89
tout,ADJ,f,p,358.34,535.34,446.84
grand,ADJ,m,s,338.27,537.97,438.12
bon,ADJ,f,s,578.93,294.53,436.73
petit,ADJ,f,s,355.66,491.82,423.74
juste,ADJ,,s,653.49,147.77,400.63
seul,ADJ,f,s,349.74,318.85,334.295
jeune,ADJ,,s,234.9,432.64,333.77
grand,ADJ,f,s,198.25,378.65,288.45
beau,ADJ,m,s,281.23,270.07,275.65
beau,ADJ,f,s,284.08,223.65,253.865
premier,ADJ,f,s,197.34,296.76,247.05
vieux,ADJ,m,,180.08,273.31,226.695
gros,ADJ,m,,180.91,216.01,198.46
possible,ADJ,,s,193.91,197.16,195.535
premier,ADJ,m,s,146.12,237.91,192.015
dernier,ADJ,f,s,224.41,145.27,184.84
petit,ADJ,m,p,112.92,244.19,178.555
nouveau,ADJ,m,s,170.28,138.31,154.295
pauvre,ADJ,,s,148.93,148.78,148.855
autre,ADJ,,p,117.61,169.46,143.535
dernier,ADJ,m,s,138.57,146.42,142.495
nouvelle,ADJ,f,s,152.78,130.81,141.795
heureux,ADJ,m,,155.8,125.41,140.605
rouge,ADJ,,s,79.7,195.27,137.485
propre,ADJ,,s,120.61,149.8,135.205
vieux,ADJ,f,s,84.59,184.12,134.355
fou,ADJ,m,s,181.51,82.03,131.77
plein,ADJ,m,s,104.57,157.84,131.205
grand,ADJ,m,p,59.52,201.55,130.535
noir,ADJ,m,s,72.2,184.86,128.53
simple,ADJ,,s,124.57,124.26,124.415
mauvais,ADJ,m,,138.04,108.65,123.345
facile,ADJ,,s,153.57,88.65,121.11
libre,ADJ,,s,110.36,130.14,120.25
difficile,ADJ,,s,135.15,100.74,117.945
long,ADJ,m,s,79.18,153.51,116.345
prêt,ADJ,m,s,170.23,60.41,115.32
dur,ADJ,m,s,145.55,80.68,113.115
drôle,ADJ,,s,138.46,85.47,111.965
plein,ADJ,f,s,82.13,139.19,110.66
cher,ADJ,m,s,130.7,90.47,110.585
important,ADJ,m,s,168.62,49.66,109.14
petit,ADJ,f,p,64.5,152.16,108.33
malade,ADJ,,s,147.5,66.22,106.86
impossible,ADJ,,s,122.32,90.07,106.195
grave,ADJ,,s,134.19,74.86,104.525
