lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
ne,ADV,,,22287.84,13841.89,36129.73
pas,ADV,,,18188.15,8795.14,26983.29
plus,ADV,,,4062.45,5014.53,9076.98
bien,ADV,,,4213.78,2535.14,6748.92
là,ADV,,,2096.53,1089.66,3186.19
si,ADV,,,2107.14,924.93,3032.07
ici,ADV,,,2411.21,483.58,2894.79
alors,ADV,,,1777.65,1033.78,2811.43
aussi,ADV,,,1402.33,1359.86,2762.19
encore,ADV,,,1176.94,1579.05,2755.99
très,ADV,,,1589.92,1120.81,2710.73
tout,ADV,,,1058.64,1639.19,2697.83
jamais,ADV,,,1360.22,1122.97,2483.19
même,ADV,,,907.69,1358.65,2266.34
toujours,ADV,,,1072.36,1093.78,2166.14
trop,ADV,,,859.54,790.0,1649.54
peut-être,ADV,,,907.68,697.97,1605.65
maintenant,ADV,,,1028.86,496.76,1525.62
déjà,ADV,,,681.89,702.23,1384.12
vraiment,ADV,,,968.57,274.32,1242.89
moins,ADV,,,478.75,718.18,1196.93
comment,ADV,,,922.93,164.93,1087.86
beaucoup,ADV,,,626.0,461.42,1087.42
mieux,ADV,,,651.73,398.38,1050.11
comme,ADV,,,577.64,365.68,943.32
vite,ADV,,,491.64,351.89,843.53
assez,ADV,,,407.75,420.14,827.89
tant,ADV,,,380.34,436.42,816.76
peu,ADV,,,250.97,563.58,814.55
mal,ADV,,,453.95,349.46,803.41
enfin,ADV,,,265.83,440.27,706.1
loin,ADV,,,248.34,452.36,700.7
tard,ADV,,,350.38,344.26,694.64
seulement,ADV,,,279.25,397.97,677.22
ainsi,ADV,,,207.68,469.46,677.14
presque,ADV,,,181.81,465.54,647.35
longtemps,ADV,,,290.36,335.54,625.9
demain,ADV,,,425.85,134.12,559.97
aujourd'hui,ADV,,,360.17,158.24,518.41
combien,ADV,,,390.58,108.04,498.62
plutôt,ADV,,,210.4,280.74,491.14
ailleurs,ADV,,,128.74,346.35,475.09
pourtant,ADV,,,95.8,375.68,471.48
autour,ADV,,,87.02,361.55,448.57
parfois,ADV,,,152.86,287.36,440.22
surtout,ADV,,,148.66,291.49,440.15
souvent,ADV,,,135.54,286.96,422.5
puis,ADV,,,129.11,272.77,401.88
ensemble,ADV,,,253.47,145.07,398.54
autant,ADV,,,152.16,240.41,392.57
en,ADV,,,172.75,212.09,384.84
fort,ADV,,,171.91,212.77,384.68
là-bas,ADV,,,263.15,117.7,380.85
juste,ADV,,,252.71,109.46,362.17
bientôt,ADV,,,184.96,169.59,354.55
tellement,ADV,,,183.7,168.51,352.21
d'abord,ADV,,,175.45,169.32,344.77
avant,ADV,,,224.38,117.7,342.08
après,ADV,,,193.68,137.23,330.91
partout,ADV,,,141.94,179.39,321.33
hier,ADV,,,223.77,92.64,316.41
ensuite,ADV,,,127.92,169.19,297.11
dehors,ADV,,,180.79,109.05,289.84
depuis,ADV,,,147.19,114.05,261.24
tôt,ADV,,,129.98,126.76,256.74
debout,ADV,,,91.81,158.85,250.66
exactement,ADV,,,144.62,92.36,236.98
près,ADV,,,79.53,156.96,236.49
doucement,ADV,,,103.81,128.38,232.19
soudain,ADV,,,21.16,207.3,228.46
au-dessus,ADV,,,43.95,176.35,220.3
simplement,ADV,,,84.76,134.32,219.08
sûrement,ADV,,,133.67,74.12,207.79
aussitôt,ADV,,,13.52,189.93,203.45
complètement,ADV,,,105.33,81.49,186.82
lentement,ADV,,,26.48,156.55,183.03
quelque,ADV,,,62.61,111.49,174.1
dessus,ADV,,,111.19,57.57,168.76
cependant,ADV,,,20.07,139.73,159.8
derrière,ADV,,,73.39,84.32,157.71
absolument,ADV,,,89.79,63.45,153.24
devant,ADV,,,59.06,81.22,140.28
justement,ADV,,,62.08,78.18,140.26
haut,ADV,,,41.32,90.27,131.59
guère,ADV,,,17.02,110.68,127.7
désormais,ADV,,,39.13,88.45,127.58
davantage,ADV,,,29.56,97.84,127.4
autrefois,ADV,,,26.89,96.96,123.85
parfaitement,ADV,,,45.48,71.08,116.56
évidemment,ADV,,,28.23,88.11,116.34
brusquement,ADV,,,4.88,111.42,116.3
dedans,ADV,,,76.55,39.46,116.01
certainement,ADV,,,55.16,59.93,115.09
bon,ADV,,,66.93,45.54,112.47
là-haut,ADV,,,67.78,42.7,110.48
point,ADV,,,34.8,74.39,109.19
probablement,ADV,,,69.41,37.64,107.05
lors,ADV,,,35.79,70.27,106.06
finalement,ADV,,,45.89,58.92,104.81
également,ADV,,,32.19,71.01,103.2
autrement,ADV,,,40.16,62.77,102.93
immédiatement,ADV,,,56.35,42.64,98.99
là-dedans,ADV,,,74.0,23.58,97.58
naturellement,ADV,,,21.05,71.96,93.01
heureusement,ADV,,,39.78,51.35,91.13
rapidement,ADV,,,26.49,62.64,89.13
certes,ADV,,,14.88,69.66,84.54
environ,ADV,,,55.55,27.43,82.98
chaud,ADV,,,39.06,41.76,80.82
marre,ADV,,,57.48,20.68,78.16
au-delà,ADV,,,21.77,52.91,74.68
apparemment,ADV,,,43.08,29.53,72.61
tantôt,ADV,,,5.62,66.76,72.38
quelquefois,ADV,,,11.87,60.47,72.34
légèrement,ADV,,,6.35,65.2,71.55
pis,ADV,,,30.15,37.16,67.31
directement,ADV,,,26.73,39.12,65.85
facilement,ADV,,,26.85,37.03,63.88
jadis,ADV,,,11.55,52.3,63.85
là-dessus,ADV,,,30.89,32.5,63.39
droit,ADV,,,31.48,31.89,63.37
franchement,ADV,,,35.09,28.24,63.33
longuement,ADV,,,3.71,58.45,62.16
sérieusement,ADV,,,39.34,21.76,61.1
bref,ADV,,,22.26,38.78,61.04
volontiers,ADV,,,19.41,40.61,60.02
demi,ADV,,,2.36,55.2,57.56
entièrement,ADV,,,17.17,39.93,57.1
bas,ADV,,,26.18,30.34,56.52
vaguement,ADV,,,4.72,51.76,56.48
malheureusement,ADV,,,35.35,21.08,56.43
auparavant,ADV,,,14.11,41.62,55.73
cher,ADV,,,34.7,20.27,54.97
profondément,ADV,,,19.0,34.59,53.59
forcément,ADV,,,24.23,29.12,53.35
c'est-à-dire,ADV,,,0.0,51.96,51.96
particulièrement,ADV,,,14.78,36.62,51.4
totalement,ADV,,,28.62,22.16,50.78
précisément,ADV,,,12.8,34.8,47.6
uniquement,ADV,,,21.86,24.66,46.52
rarement,ADV,,,14.05,31.62,45.67
réellement,ADV,,,18.27,26.62,44.89
toutefois,ADV,,,5.37,35.47,40.84
tranquillement,ADV,,,13.26,26.82,40.08
suffisamment,ADV,,,18.3,20.07,38.37
soigneusement,ADV,,,3.52,34.39,37.91
petit,ADV,,,12.3,25.41,37.71
jusque-là,ADV,,,7.81,29.53,37.34
clairement,ADV,,,18.75,18.18,36.93
récemment,ADV,,,21.07,15.07,36.14
vivement,ADV,,,5.85,29.86,35.71
drôlement,ADV,,,10.79,24.86,35.65
décidément,ADV,,,3.88,30.81,34.69
régulièrement,ADV,,,5.72,27.77,33.49
personnellement,ADV,,,18.39,14.93,33.32
gentiment,ADV,,,11.32,21.76,33.08
définitivement,ADV,,,9.34,23.51,32.85
normalement,ADV,,,20.37,12.43,32.8
largement,ADV,,,5.98,26.76,32.74
beau,ADV,,,17.91,14.46,32.37
pratiquement,ADV,,,14.68,17.03,31.71
extrêmement,ADV,,,14.69,16.96,31.65
moitié,ADV,,,9.2,22.16,31.36
visiblement,ADV,,,6.94,23.99,30.93
effectivement,ADV,,,13.57,16.28,29.85
çà,ADV,,,7.78,21.15,28.93
dessous,ADV,,,11.01,17.5,28.51
actuellement,ADV,,,11.39,16.69,28.08
infiniment,ADV,,,10.29,17.43,27.72
au-dessous,ADV,,,2.98,24.59,27.57
vachement,ADV,,,15.74,11.82,27.56
sincèrement,ADV,,,13.58,13.11,26.69
carrément,ADV,,,9.99,16.55,26.54
court,ADV,,,7.24,19.26,26.5
terriblement,ADV,,,11.88,14.53,26.41
gravement,ADV,,,6.43,19.73,26.16
brutalement,ADV,,,2.89,23.11,26.0
discrètement,ADV,,,5.82,19.73,25.55
naguère,ADV,,,1.16,23.72,24.88
généralement,ADV,,,7.79,16.89,24.68
spécialement,ADV,,,9.6,14.8,24.4
voire,ADV,,,7.42,16.89,24.31
constamment,ADV,,,8.18,15.68,23.86
violemment,ADV,,,2.8,20.88,23.68
nettement,ADV,,,3.17,20.34,23.51
net,ADV,,,3.89,19.32,23.21
machinalement,ADV,,,0.39,22.77,23.16
sitôt,ADV,,,3.59,19.12,22.71
notamment,ADV,,,2.2,20.2,22.4
proprement,ADV,,,4.54,16.22,20.76
énormément,ADV,,,12.27,8.38,20.65
attentivement,ADV,,,8.38,11.82,20.2
quasi,ADV,,,2.69,17.36,20.05
fortement,ADV,,,4.25,15.68,19.93
subitement,ADV,,,4.39,15.54,19.93
librement,ADV,,,6.8,12.84,19.64
contrairement,ADV,,,8.79,10.41,19.2
calmement,ADV,,,6.74,12.43,19.17
bizarrement,ADV,,,7.12,11.82,18.94
gaiement,ADV,,,2.58,16.22,18.8
soit,ADV,,,9.02,9.73,18.75
étrangement,ADV,,,3.85,14.86,18.71
après-demain,ADV,,,11.77,6.76,18.53
silencieusement,ADV,,,0.99,17.16,18.15
éternellement,ADV,,,8.01,9.93,17.94
officiellement,ADV,,,10.41,7.36,17.77
sur-le-champ,ADV,,,6.79,10.95,17.74
faiblement,ADV,,,0.65,16.89,17.54
physiquement,ADV,,,8.72,8.72,17.44
honnêtement,ADV,,,12.06,4.73,16.79
difficilement,ADV,,,3.72,13.04,16.76
néanmoins,ADV,,,4.95,11.69,16.64
correctement,ADV,,,11.08,5.41,16.49
delà,ADV,,,3.73,12.7,16.43
tendrement,ADV,,,3.42,12.84,16.26
durement,ADV,,,3.27,12.97,16.24
secrètement,ADV,,,3.2,13.04,16.24
littéralement,ADV,,,5.27,10.95,16.22
bêtement,ADV,,,4.56,11.28,15.84
nullement,ADV,,,1.45,14.19,15.64
avant-hier,ADV,,,6.69,8.78,15.47
désespérément,ADV,,,4.08,10.81,14.89
curieusement,ADV,,,1.9,12.84,14.74
quasiment,ADV,,,7.66,6.62,14.28
aisément,ADV,,,2.51,11.69,14.2
dorénavant,ADV,,,7.2,6.89,14.09
ci,ADV,,,10.23,3.65,13.88
grand,ADV,,,7.99,5.81,13.8
précédemment,ADV,,,11.48,2.16,13.64
distraitement,ADV,,,0.11,13.51,13.62
assurément,ADV,,,3.19,10.41,13.6
tristement,ADV,,,1.67,11.82,13.49
purement,ADV,,,3.99,9.32,13.31
indéfiniment,ADV,,,2.08,11.22,13.3
poliment,ADV,,,3.29,10.0,13.29
relativement,ADV,,,4.48,8.65,13.13
patiemment,ADV,,,1.75,11.15,12.9
successivement,ADV,,,0.32,12.57,12.89
strictement,ADV,,,4.95,7.91,12.86
volontairement,ADV,,,3.59,9.12,12.71
fermement,ADV,,,2.6,10.07,12.67
différemment,ADV,,,8.46,4.19,12.65
vainement,ADV,,,0.55,12.09,12.64
prudemment,ADV,,,2.76,9.86,12.62
dernièrement,ADV,,,11.24,1.35,12.59
manifestement,ADV,,,5.79,6.76,12.55
soudainement,ADV,,,6.98,5.54,12.52
rudement,ADV,,,2.42,10.07,12.49
exclusivement,ADV,,,2.05,10.34,12.39
au-dehors,ADV,,,0.91,11.42,12.33
étroitement,ADV,,,1.51,10.81,12.32
par-ci,ADV,,,3.1,9.12,12.22
au-devant,ADV,,,0.98,11.08,12.06
entre-temps,ADV,,,4.04,7.97,12.01
sèchement,ADV,,,0.35,11.55,11.9
mollement,ADV,,,0.33,11.55,11.88
sagement,ADV,,,2.39,9.46,11.85
délicatement,ADV,,,1.48,10.34,11.82
doux,ADV,,,9.77,2.03,11.8
péniblement,ADV,,,0.74,11.01,11.75
habituellement,ADV,,,4.02,7.7,11.72
bruyamment,ADV,,,0.95,10.54,11.49
là-dessous,ADV,,,7.12,4.32,11.44
timidement,ADV,,,0.1,11.22,11.32
outre,ADV,,,1.27,10.0,11.27
paisiblement,ADV,,,2.1,9.12,11.22
pleinement,ADV,,,3.44,7.77,11.21
précipitamment,ADV,,,0.99,10.14,11.13
instinctivement,ADV,,,1.5,9.46,10.96
nécessairement,ADV,,,3.31,7.64,10.95
fixement,ADV,,,1.89,8.92,10.81
solidement,ADV,,,0.81,10.0,10.81
mentalement,ADV,,,4.37,6.42,10.79
passionnément,ADV,,,1.38,9.39,10.77
obstinément,ADV,,,0.48,10.27,10.75
merveilleusement,ADV,,,3.63,7.03,10.66
quoique,ADV,,,1.17,9.46,10.63
follement,ADV,,,4.15,6.42,10.57
alentour,ADV,,,1.63,8.92,10.55
joyeusement,ADV,,,1.14,9.39,10.53
insensiblement,ADV,,,0.1,10.41,10.51
exprès,ADV,,,3.19,7.23,10.42
faux,ADV,,,7.61,2.7,10.31
raide,ADV,,,3.39,6.82,10.21
ter,ADV,,,0.72,9.46,10.18
cruellement,ADV,,,1.46,8.65,10.11
incroyablement,ADV,,,5.55,4.53,10.08
publiquement,ADV,,,2.47,7.57,10.04
confusément,ADV,,,0.03,10.0,10.03
froidement,ADV,,,0.94,9.05,9.99
inlassablement,ADV,,,0.38,9.59,9.97
imperceptiblement,ADV,,,0.14,9.73,9.87
maladroitement,ADV,,,0.27,9.59,9.86
instantanément,ADV,,,2.15,7.57,9.72
principalement,ADV,,,3.6,6.08,9.68
progressivement,ADV,,,1.44,8.24,9.68
d'emblée,ADV,,,1.31,8.31,9.62
hautement,ADV,,,4.83,4.73,9.56
fraîchement,ADV,,,1.17,8.31,9.48
ouvertement,ADV,,,2.5,6.96,9.46
spontanément,ADV,,,1.35,8.11,9.46
intensément,ADV,,,0.87,8.58,9.45
fréquemment,ADV,,,1.16,8.24,9.4
à tâtons,ADV,,,0.6,8.78,9.38
provisoirement,ADV,,,1.52,7.84,9.36
illico,ADV,,,2.19,7.16,9.35
pareil,ADV,,,6.63,2.7,9.33
alias,ADV,,,5.45,3.85,9.3
gratuitement,ADV,,,6.37,2.91,9.28
moralement,ADV,,,1.98,7.3,9.28
fièrement,ADV,,,1.45,7.64,9.09
extraordinairement,ADV,,,0.46,8.51,8.97
affreusement,ADV,,,3.13,5.61,8.74
singulièrement,ADV,,,0.13,8.58,8.71
délibérément,ADV,,,3.11,5.47,8.58
faussement,ADV,,,0.66,7.91,8.57
sévèrement,ADV,,,2.46,6.08,8.54
négligemment,ADV,,,0.04,8.45,8.49
posément,ADV,,,0.1,8.38,8.48
méchamment,ADV,,,2.04,6.42,8.46
mystérieusement,ADV,,,1.63,6.82,8.45
éventuellement,ADV,,,2.49,5.81,8.3
salement,ADV,,,2.28,6.01,8.29
inconsciemment,ADV,,,2.0,6.28,8.28
convenablement,ADV,,,2.02,6.22,8.24
distinctement,ADV,,,1.48,6.76,8.24
pêle-mêle,ADV,,,0.0,8.24,8.24
essentiellement,ADV,,,1.65,6.55,8.2
furieusement,ADV,,,0.87,7.3,8.17
sacrément,ADV,,,6.01,2.16,8.17
brièvement,ADV,,,1.92,6.22,8.14
dangereusement,ADV,,,2.13,5.88,8.01
mutuellement,ADV,,,3.4,4.59,7.99
solennellement,ADV,,,1.77,6.15,7.92
véritablement,ADV,,,2.03,5.88,7.91
cash,ADV,,,7.25,0.61,7.86
séparément,ADV,,,4.01,3.78,7.79
horriblement,ADV,,,3.23,4.53,7.76
sauvagement,ADV,,,1.48,6.28,7.76
nerveusement,ADV,,,0.38,7.36,7.74
hyper,ADV,,,6.66,0.95,7.61
joliment,ADV,,,2.19,5.41,7.6
out,ADV,,,6.86,0.68,7.54
mollo,ADV,,,5.23,2.3,7.53
gratis,ADV,,,4.39,3.11,7.5
conformément,ADV,,,3.09,4.26,7.35
intérieurement,ADV,,,1.29,6.01,7.3
premièrement,ADV,,,5.51,1.76,7.27
à l'improviste,ADV,,,2.67,4.53,7.2
légalement,ADV,,,5.09,2.03,7.12
simultanément,ADV,,,1.29,5.81,7.1
vraisemblablement,ADV,,,1.39,5.68,7.07
techniquement,ADV,,,6.42,0.61,7.03
obscurément,ADV,,,0.01,6.96,6.97
finement,ADV,,,1.03,5.88,6.91
aucunement,ADV,,,1.01,5.81,6.82
aux aguets,ADV,,,0.87,5.88,6.75
contrebas,ADV,,,0.23,6.49,6.72
éperdument,ADV,,,1.01,5.68,6.69
ardemment,ADV,,,1.39,5.2,6.59
franco,ADV,,,3.87,2.7,6.57
ici-bas,ADV,,,3.58,2.97,6.55
sourdement,ADV,,,0.0,6.55,6.55
douloureusement,ADV,,,1.0,5.54,6.54
inutilement,ADV,,,1.83,4.66,6.49
momentanément,ADV,,,1.29,5.2,6.49
continuellement,ADV,,,1.67,4.8,6.47
automatiquement,ADV,,,2.61,3.85,6.46
avidement,ADV,,,0.38,6.08,6.46
rebours,ADV,,,3.52,2.91,6.43
généreusement,ADV,,,1.81,4.53,6.34
naïvement,ADV,,,0.27,6.01,6.28
primo,ADV,,,4.1,2.16,6.26
sus,ADV,,,2.57,3.65,6.22
furtivement,ADV,,,1.13,5.07,6.2
alternativement,ADV,,,0.16,5.88,6.04
bonnement,ADV,,,1.37,4.66,6.03
grossièrement,ADV,,,0.61,5.41,6.02
formellement,ADV,,,1.48,4.53,6.01
humblement,ADV,,,2.26,3.65,5.91
stupidement,ADV,,,0.82,5.07,5.89
miraculeusement,ADV,,,1.34,4.53,5.87
amèrement,ADV,,,0.63,5.2,5.83
délicieusement,ADV,,,0.52,5.27,5.79
au-dedans,ADV,,,0.92,4.86,5.78
habilement,ADV,,,0.58,5.2,5.78
quotidiennement,ADV,,,0.97,4.8,5.77
résolument,ADV,,,0.39,5.34,5.73
hâtivement,ADV,,,0.12,5.54,5.66
fidèlement,ADV,,,1.12,4.53,5.65
rageusement,ADV,,,0.03,5.61,5.64
doublement,ADV,,,1.36,4.26,5.62
docilement,ADV,,,0.07,5.54,5.61
arrière,ADV,,,4.17,1.42,5.59
fatalement,ADV,,,0.44,5.07,5.51
invariablement,ADV,,,0.64,4.86,5.5
politiquement,ADV,,,2.73,2.77,5.5
sexuellement,ADV,,,4.61,0.88,5.49
minutieusement,ADV,,,0.74,4.73,5.47
deuxièmement,ADV,,,4.58,0.88,5.46
atrocement,ADV,,,2.27,3.18,5.45
admirablement,ADV,,,0.71,4.73,5.44
systématiquement,ADV,,,1.25,4.19,5.44
considérablement,ADV,,,1.0,4.39,5.39
interminablement,ADV,,,0.05,5.34,5.39
irrémédiablement,ADV,,,1.12,4.19,5.31
dignement,ADV,,,1.8,3.51,5.31
à jeun,ADV,,,1.45,3.85,5.3
pareillement,ADV,,,1.57,3.72,5.29
théoriquement,ADV,,,2.58,2.7,5.28
amicalement,ADV,,,1.15,4.12,5.27
abondamment,ADV,,,0.3,4.93,5.23
exceptionnellement,ADV,,,1.03,4.19,5.22
mortellement,ADV,,,2.03,3.18,5.21
pensivement,ADV,,,0.01,5.2,5.21
impunément,ADV,,,1.9,3.24,5.14
consciencieusement,ADV,,,0.25,4.86,5.11
grand-peine,ADV,,,0.25,4.86,5.11
