lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
temps,NOM,m,s,1031.05,1289.39,2320.44
fois,NOM,f,p,899.25,1140.0,2039.25
chose,NOM,f,s,1321.79,695.2,2016.99
peu,NOM,m,,894.78,1023.38,1918.16
vie,NOM,f,s,986.59,835.47,1822.06
homme,NOM,m,s,781.11,852.23,1633.34
père,NOM,m,s,879.31,708.11,1587.42
monde,NOM,m,s,823.62,732.43,1556.05
femme,NOM,f,s,806.57,680.2,1486.77
jour,NOM,m,s,635.22,826.35,1461.57
mère,NOM,f,s,672.0,737.09,1409.09
an,NOM,m,p,718.17,609.05,1327.22
tête,NOM,f,s,453.13,861.49,1314.62
œil,NOM,m,p,315.9,956.09,1271.99
nuit,NOM,f,s,557.56,672.36,1229.92
dieu,NOM,m,s,852.91,368.51,1221.42
air,NOM,m,s,473.5,661.01,1134.51
soir,NOM,m,s,555.85,527.23,1083.08
main,NOM,,s,286.62,788.72,1075.34
fille,NOM,f,s,627.59,417.03,1044.62
maison,NOM,,s,570.3,461.55,1031.85
coup,NOM,m,s,389.49,641.55,1031.04
moment,NOM,m,s,403.25,611.62,1014.87
besoin,NOM,m,s,758.04,251.76,1009.8
gens,NOM,,p,594.29,409.39,1003.68
jour,NOM,m,p,426.7,515.41,942.11
homme,NOM,m,p,342.44,546.62,889.06
accord,NOM,m,s,761.77,124.66,886.43
peur,NOM,f,s,551.83,307.23,859.06
heure,NOM,f,s,415.4,439.86,855.26
nom,NOM,m,s,528.17,326.89,855.06
porte,NOM,f,s,288.39,536.96,825.35
amour,NOM,m,s,450.46,373.58,824.04
chose,NOM,f,p,451.83,362.43,814.26
enfant,NOM,m,p,448.33,343.72,792.05
heure,NOM,f,p,294.39,484.19,778.58
côté,NOM,m,s,250.51,497.43,747.94
mort,NOM,,,372.07,373.99,746.06
voix,NOM,f,,130.83,612.7,743.53
corps,NOM,m,,250.15,480.34,730.49
fils,NOM,m,,480.15,247.64,727.79
place,NOM,f,s,280.54,437.97,718.51
fait,NOM,m,s,384.71,325.27,709.98
argent,NOM,m,s,515.04,194.32,709.36
eau,NOM,f,s,290.61,417.84,708.45
terre,NOM,f,s,276.29,420.88,697.17
maman,NOM,f,s,537.44,140.2,677.64
raison,NOM,f,s,424.28,247.5,671.78
enfant,NOM,,s,287.26,381.96,669.22
